Cómputo;Monitores;MT860VWS15;ViewSonic VX2370Smh-LED - Monitor LED - 23
Cómputo;Monitores;MT861VWS13;"ViewSonic - LCD monitor - 18.5"""
Cómputo;Monitores;MT537HPQ74;HP V194- Monitor LED -
Cómputo;Monitores;MT537HPR71;"Monitor HP 19ka - LED - 18.5"""
Cómputo;Monitores;MT537HPQ55;"HP V202 - Monitor LED - 19.45"" (19.45"" visible)"
Cómputo;Monitores;MT537HPR74;HP 23er - Monitor LED -
Cómputo;Monitores;MT537HPQ56;"Monitor HP EliteDisplay E232 - LED - 23"""
Cómputo;Monitores;MT537HPR75;HP 25er - Monitor LED
Cómputo;Monitores;MT537HPR76;HP 27er - Monitor LED
Cómputo;Monitores;MT002DEL81;"Dell E1916HV - Monitor LED - 18.5"""
Cómputo;Monitores;MT001DEL97;Dell - LED-backlit LCD monitor -
Cómputo;Monitores;MT100DEL27;"Dell P2317H - Monitor LED - 23"""
Cómputo;Pórtatiles;MT003DEL61;"Dell P2417H - Monitor LED - 24"" (23.8"" visible)"
Cómputo;Pórtatiles;MT100DEL31;"Dell SE2717H - Monitor LED - 27"""
Cómputo;Pórtatiles;MT002DEL98;Dell UltraSharp U2417H - Monitor LED -
Cómputo;Pórtatiles;MT861SAM35;"Samsung SE450 Series S22E450D - Monitor LED - 21.5"""
Cómputo;Pórtatiles;MT024SAM05;Samsung LS24F350 - LED-backlit LCD monitor
Cómputo;Pórtatiles;MT861SAM34;"Samsung SE450 Series S24E450D - Monitor LED - 24"""
Cómputo;Pórtatiles;MT861SAM32;Samsung LC24F390FHLXZP - LED-backlit LCD monitor
Cómputo;Pórtatiles;MT861SAM36;"Samsung SE450 Series S24E450D - Monitor LED - 27"""
Cómputo;Pórtatiles;MT861SAM37;Samsung CF390 Series C27F390FHL - Monitor LED - curvado
Cómputo;Pórtatiles;MT027SAM01;Samsung CF591 Series C27F591FDL - Monitor Curvado -
Cómputo;Pórtatiles;MT032SAM05;Samsung CF391 Series C32F391FWL - Monitor Curvado -
Cómputo;Pórtatiles;NT018DEL20;"Notebook Dell Inspiron - 3552 - 15.6"""
Cómputo;Pórtatiles;NT012DEL76;Notebook Dell Inspiron 15 - 3000
Cómputo;Pórtatiles;NT017DEL90;Notebook Dell Vostro - 14-3458 -
Cómputo;Pórtatiles;NT021DEL01;Notebook Dell Inspiron 15 3567 -
Cómputo;Pórtatiles;NT020DEL80;"Notebook Dell Inspiron - 14 3467 - 14"""
Cómputo;Pórtatiles;NT018DEL34;Notebook Dell Inspiron 15 - 5565 -
Cómputo;Pórtatiles;NT018DEL29;Notebook Dell Inspiron 14 - 3000
Cómputo;Pórtatiles;NT014DEL78;"Notebook Dell Inspiron 5368 - 13.3"""
Cómputo;Pórtatiles;NT018DEL28;Notebook Dell Inspiron 15 - Core i5 - 5567 -
Cómputo;Pórtatiles;NT018DEL76;Notebook Dell Latitude E5470
Oficina;Impresoras Ink Jet;NT017DEL27;Notebook Dell Inspiron 15 - Core i7 - 5567 -
Oficina;Impresoras Multifuncionales;NT020DEL10;"Notebook Dell Latitude - 5480 - 14"""
Oficina;Impresoras Multifuncionales;NT020DEL81;"Notebook Dell Latitude - 5580 - 15.6"""
Oficina;Impresoras Ink Jet;NT017DEL81;Notebook Dell Inspiron 7567 - Core i7
Oficina;Impresoras Ink Jet;NT020DEL11;"Notebook Dell Latitude - 7480 - 14"""
Oficina;Impresoras Ink Jet;NT003HPR70;Notebook HP 14-am071la - Celeron N3060
Cómputo;Discos Duros Externos;NT005HPR32;"Notebook HP - 14-bs003la - 14"""
Electrónica;Parlantes/Bocinas/Cornetas;NT005HPR21;"Notebook HP - 14-bs025la - 14"""
Electrónica;Parlantes/Bocinas/Cornetas;NT003HPR77;Notebook HP 14-an011la
Electrónica;Parlantes/Bocinas/Cornetas;NT714HPR42;Notebook HP - 14-am006la -
Electrónica;Parlantes/Bocinas/Cornetas;NT005HPR32;Notebook HP - 14-bs023la -
Electrónica;Parlantes/Bocinas/Cornetas;NT714HPR40;HP - 14-am010la - Notebook
Electrónica;Parlantes/Bocinas/Cornetas;NT005HPR34;Notebook HP - 15-bs004la -
Electrónica;Parlantes/Bocinas/Cornetas;NT005HPR10;Notebook HP - 14-bs013la -
Electrónica;Reproductores de Streaming Media;NT955HPQ23;Notebook HP - 240 G5
Monitores y Proyectores;Monitores;NT714HPR39;Notebook HP -14-am009la
Monitores y Proyectores;Monitores;NT005HPR18;"Notebook HP - 15-bs013la - 15.6"""
Monitores y Proyectores;Monitores;NT005HPR22;"Notebook HP Pavilion - 15-cd002la - 15.6"""
Monitores y Proyectores;Monitores;NT005HPR16;"Notebook HP Pavilion x360 - 14-ba001la - 14"""
Monitores y Proyectores;Monitores;NT005HPR17;"Notebook HP - 14-bs018la - 14"""
Monitores y Proyectores;Monitores;NT714HPR31;HP Pavilion x360 13-u001la - Notebook -
Monitores y Proyectores;Monitores;NT714HPR27;Notebook HP Pavilion 14-al007la - Core i7-
Monitores y Proyectores;Monitores;NT005HPR27;Notebook HP Pavilion - 15-cd005la -
Monitores y Proyectores;Monitores;NT003HPR68;Notebook HP Envy - 13-ab002la -
Monitores y Proyectores;Monitores;NT005HPQ25;"Notebook HP ProBook 440 G4 14"" i3"
Monitores y Proyectores;Monitores;NT005HPR26;Notebook HP Pavilion - 14-bk001la -
Monitores y Proyectores;Monitores;NT005HPQ41;Notebook HP ProBook 440 G3 - Core i7
Computadoras;Pórtatiles;NT005HPQ42;"Notebook HP ProBook 440 G4 14"" i5"
Computadoras;Pórtatiles;NT005HPQ40;"Notebook HP ProBook - 450 - 15.6"""
Computadoras;Pórtatiles;NT005HPQ26;"Notebook HP ProBook - 450 G4 - 15.6"" Core i7"
Computadoras;Pórtatiles;NT003HPR67;Notebook HP Envy 13-ab004la - Core i7
Computadoras;Pórtatiles;NT005HPQ49;"Notebook HP EliteBook - 840 G3 - 14"" LED Core i7"
Computadoras;Pórtatiles;NT714HPR18;Notebook HP Spectre - 13-v001la - Notebook
Computadoras;Pórtatiles;NT714HPR20;Notebook HP Envy - 15-as004la - Core i7
Computadoras;Pórtatiles;NT005HPQ36;Notebook HP EliteBook - 840 G3 -
Computadoras;Pórtatiles;NT638LEN42;Notebook Lenovo V110
Computadoras;Pórtatiles;NT013LEN21;Notebook Lenovo 310-15ISK - Core i5
Computadoras;Pórtatiles;NT638LEN51;"Notebook Lenovo NVIDIA GeForce - 15.6"" -"
Computadoras;Pórtatiles;NT638LEN49;Notebook Lenovo V310-15ISK 80SY - Core i7
Computadoras;Pórtatiles;NT013LEN30;Notebook Lenovo ThinkPad E470 20H1 - Core i5
Computadoras;Pórtatiles;NT013LEN31;Notebook Lenovo ThinkPad E570 20H5 - Core i5
Computadoras;Pórtatiles;NT013LEN83;Notebook Lenovo ThinkPad E470 20H1 - Core i7
Celulares;Celulares Desbloqueados;NT014LEN35;Notebook Lenovo ThinkPad E570 20H5 - Core i7
Celulares;Celulares Desbloqueados;NT408TOS92;Notebook Toshiba Tecra C50 i3
Celulares;Celulares Desbloqueados;NT408TOS87;Notebook Toshiba Tecra C50 i5
Celulares;Celulares Desbloqueados;NT408TOS90;"Notebook Toshiba Tecra - 14"" - Intel Core i5"
Celulares;Celulares Desbloqueados;CE102MOT31;Motorola Moto C Plus
Celulares;Celulares Desbloqueados;CE102MOT07;Motorola Moto G4 Play
Celulares;Celulares Desbloqueados;CE102MOT39;Motorola Moto E Plus - XT1773
Computadoras;Tableta;CE102MOT14;Motorola Moto G5
Computadoras;Tableta;CE102MOT15;Motorola Moto G5 Plus
Computadoras;Tableta;CE102MOT18;Motorola Moto Z Play - 4G
Computadoras;Tableta;CE103HUA39;Huawei GR5 - Smartphone
Computadoras;Tableta;CE105HUA03;Huawei P9 LITE SMART
Perifericos;Ratones;CE105HUA04;Huawei P9 LITE SMART
Perifericos;Ratones;CE102HUA66;Huawei P9 Lite - Android 6.0 - Octa core
Perifericos;Ratones;CE104HUA47;Huawei Mate 9 Lite - Smartphone
Perifericos;Ratones;CE104HUA69;Huawei P10 - Smartphone
Perifericos;Ratones;CE102HUA64;Huawei P9 - Smartphone -
Perifericos;Teclados y Teclados de Números;CE104HUA24;Huawei Mate 9 - Smartphone -
Perifericos;Teclados y Teclados de Números;CE104HUA33;Huawei Mate 9 - Smartphone -
Perifericos;Teclados y Teclados de Números;CE104HUA34;Huawei Mate 9 - Smartphone -
Memoria;Tarjetas de Memoria Flash;TA000HUA12;Tableta HUAWEI MediaPad T1 7.0
Memoria;Tarjetas de Memoria Flash;TA000HUA09;Tableta HUAWEI MediaPad T1 7.0 - 3G -
Memoria;Tarjetas de Memoria Flash;TA001HUA10;"Tableta HUAWEI MediaPad - T3 10 - 9.6"""
Memoria;Tarjetas de Memoria Flash;TA000ACL37;"Tableta Alcatel One Touch - Pixi Kids - 7"""
Memoria;Tarjetas de Memoria Flash;TA000VNA04;VNA - Tablet Disney Frozen - Intel Inside
Memoria;Tarjetas de Memoria Flash;TA000VNA05;VNA - Tablet Disney Marvel - Intel Inside
Memoria;Tarjetas de Memoria Flash;TA000ACL41;"Tableta Alcatel - Pixi 4 9003 - 7"""
Memoria;Tarjetas de Memoria Flash;ID021LOG96;Mouse Logitech Wireless
Memoria;Tarjetas de Memoria Flash;ID021LOG94;Mouse Logitech Wireless
Memoria;Tarjetas de Memoria Flash;ID021LOG97;Mouse Logitech Wireless
Memoria;Tarjetas de Memoria Flash;ID021LOG96;Mouse Logitech Wireless
Memoria;Tarjetas de Memoria Flash;ID021LOG22;Mouse Logitech Gaming Mouse G300s
Memoria;Tarjetas de Memoria Flash;ID025LOG05;Mouse Logitech Wireless Trackball M570
Memoria;Tarjetas de Memoria Flash;ID015MSR18;Microsoft Arc Touch Bluetooth Mouse
Memoria;Tarjetas de Memoria Flash;ID222LOG69;Logitech Multi-Device K380 - Teclado - Bluetooth
Memoria;Tarjetas de Memoria Flash;ID222LOG68;Logitech Wireless Touch Keyboard K400 Plus
Memoria;Tarjetas de Memoria Flash;ID222LOG87;Logitech Teclado Solar inalámbrico K750
Memoria;Tarjetas de Memoria Flash;ID400LOG07;Logitech Multi-Device K480 - Teclado - Bluetooth
Memoria;Tarjetas de Memoria Flash;ID210LOG10;Logitech Keys-To-Go - Teclado - Bluetooth
Memoria;Tarjetas de Memoria Flash;ID000KNG01;HyperX Alloy FPS Mechanical Gaming - Teclado - USB
Memoria;Tarjetas de Memoria Flash;CH160SDK15;SanDisk Ultra - Tarjeta de memoria flash 16
Memoria;Tarjetas de Memoria Flash;CH320SDK16;SanDisk Ultra - Tarjeta de memoria flash 32
Memoria;Tarjetas de Memoria Flash;CH064SDK16;SanDisk Ultra - Tarjeta de memoria flash 64
Memoria;Tarjetas de Memoria Flash;CH640SDK07;SanDisk Ultra - Tarjeta de memoria flash - 64 GB
Memoria;Tarjetas de Memoria Flash;CH065KNG38;Kingston - Tarjeta de memoria flash - 64 GB
Memoria;Tarjetas de Memoria Flash;CH065KNG45;Kingston - Tarjeta de memoria flash - 64 GB
Memoria;Tarjetas de Memoria Flash;CH065KNG32;Kingston Ultimate - Tarjeta de memoria flash - 64 GB
Memoria;Tarjetas de Memoria Flash;CH131KNG60;Kingston - Tarjeta de memoria flash - 128 GB
Memoria;Tarjetas de Memoria Flash;PT550CAN62;Impresora Canon Pixma IP2810 - Photo printer - Ink-jet
Memoria;Tarjetas de Memoria Flash;PT313HEW48;HP Impresora Deskjet Ink Advantage 2135 All-in-One
Memoria;Tarjetas de Memoria Flash;PT313HEW49;Impresora HP Deskjet Ink Advantage 3635
Memoria;Tarjetas de Memoria Flash;PT804HEW01;Impresora Deskjet Ink Advantage 3775 All-in-One
Memoria;Tarjetas de Memoria Flash;PT335EPS56;Epson XP-241 - Impresora Multifunción -
Memoria;Tarjetas de Memoria Flash;PT552CAN40;Canon Pixma E402 - Impresora Multifuncional
Memoria;Tarjetas de Memoria Flash;PT313HEW64;HP Deskjet Ink Advantage 4675 All-in-One Impresora multifunción
Memoria;Tarjetas de Memoria Flash;PT333EPS96;Epson L220 - Impresora multifunción - color
Memoria;Tarjetas de Memoria Flash;DH961SEA26;Seagate Expansion STEA2000400 - Disco duro - 2 TB
Memoria;Tarjetas de Memoria Flash;MM100JAM76;JAM HMDX audio - Rebound - Speaker
Memoria;Tarjetas de Memoria Flash;MM100JAM77;JAM HMDX audio - Rebound - Speaker
Memoria;Tarjetas de Memoria Flash;MM100JAM78;JAM HMDX audio - Rebound - Speaker
Memoria;Tarjetas de Memoria Flash;MM221HUA03;Huawei AM08 - Parlante inalambrico -
Memoria;Tarjetas de Memoria Flash;MM221HUA01;Huawei AM08 - Parlante inalambrico -
Memoria;Tarjetas de Memoria Flash;MM221HUA02;Huawei AM08 - Parlante inalambrico -
Memoria;Tarjetas de Memoria Flash;MM221HUA04;Huawei AM08 - Parlante inalambrico -
Memoria;Tarjetas de Memoria Flash;MM100JAM25;JAM Replay - Altavoz - Portátil
Memoria;Tarjetas de Memoria Flash;MM100JAM26;JAM Replay - Altavoz - Portátil
